Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Add Image""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:24,2022-10-30 10:10:24,0.771s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Click Back Button""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:24,2022-10-30 10:10:25,0.630s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-30 10:10:25,2022-10-30 10:10:28,3.043s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-30 10:10:28,2022-10-30 10:10:29,1.016s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Add Item/ADDITEMDAFTARJUAL004 - Search Produk in Tambah Produk Page,Chrome 106.0.0.0,,,2022-10-30 10:10:29,2022-10-30 10:10:51,22.010s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-30 10:10:29,2022-10-30 10:10:34,4.645s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:34,2022-10-30 10:10:43,9.160s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Click Menu Button""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:43,2022-10-30 10:10:44,0.587s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Click Tambah Produk Button""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:44,2022-10-30 10:10:47,3.149s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Input Search Produk""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:47,2022-10-30 10:10:48,1.191s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Enter Search Produk""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:10:48,2022-10-30 10:10:50,1.706s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-30 10:10:50,2022-10-30 10:10:51,1.044s,PASSED
