Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Item,,,,2022-10-30 16:09:36,2022-10-30 16:09:45,9.327s,FAILED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM001 - Edit Item With Preview in Semua Product page,,,,2022-10-30 16:09:38,2022-10-30 16:09:40,2.131s,FAILED
Start listener action : beforeTestCase,,,,2022-10-30 16:09:38,2022-10-30 16:09:39,1.167s,ERROR
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",,,,2022-10-30 16:09:40,2022-10-30 16:09:40,0.665s,FAILED
Start listener action : afterTestCase,,,,2022-10-30 16:09:40,2022-10-30 16:09:40,0.026s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM002 - Edit Item Without Preview in Semua Product page,,,,2022-10-30 16:09:40,2022-10-30 16:09:42,1.601s,FAILED
Start listener action : beforeTestCase,,,,2022-10-30 16:09:40,2022-10-30 16:09:42,1.160s,ERROR
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",,,,2022-10-30 16:09:42,2022-10-30 16:09:42,0.177s,FAILED
Start listener action : afterTestCase,,,,2022-10-30 16:09:42,2022-10-30 16:09:42,0.009s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM003 - Edit Item Without Preview in Diminati page,,,,2022-10-30 16:09:42,2022-10-30 16:09:44,1.563s,FAILED
Start listener action : beforeTestCase,,,,2022-10-30 16:09:42,2022-10-30 16:09:43,1.145s,ERROR
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",,,,2022-10-30 16:09:43,2022-10-30 16:09:44,0.183s,FAILED
Start listener action : afterTestCase,,,,2022-10-30 16:09:44,2022-10-30 16:09:44,0.006s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM004 - Edit Item With Preview in Diminati page,,,,2022-10-30 16:09:44,2022-10-30 16:09:45,1.693s,FAILED
Start listener action : beforeTestCase,,,,2022-10-30 16:09:44,2022-10-30 16:09:45,1.227s,ERROR
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",,,,2022-10-30 16:09:45,2022-10-30 16:09:45,0.212s,FAILED
Start listener action : afterTestCase,,,,2022-10-30 16:09:45,2022-10-30 16:09:45,0.007s,PASSED
